Accession_ID	Name	Country	Latitude	Longitude	CS_number	material	Mg25	chr5:282011
5865	Dra1-4	Sweden	55.76	14.12	CS76809	leaf	5134.407394	.
5867	Dra2-1	Sweden	55.76	14.12	CS76810	leaf	5441.890631	0
5874	DraII-6	Czech Republic	49.4112	16.2815	CS76814	leaf	4929.342138	1
5890	DraIV 1-8	Czech Republic	49.4112	16.2815	CS76817	leaf	5035.53325	0
5893	DraIV 1-11	Czech Republic	49.4112	16.2815	CS76816	leaf	5251.189495	1
5907	DraIV 2-9	Czech Republic	49.4112	16.2815	CS76818	leaf	5621.899874	1
5921	DraIV 3-7	Czech Republic	49.4112	16.2815	CS76819	leaf	4713.830732	0
5950	DraIV 5-12	Czech Republic	49.4112	16.2815	CS76820	leaf	5073.783233	0
5984	DraIV 6-13	Czech Republic	49.4112	16.2815	CS76822	leaf	5937.667641	0
5993	DraIV 6-22	Czech Republic	49.4112	16.2815	CS76823	leaf	5293.079238	1
6008	Duk	Czech Republic	49.1	16.2	CS76824	leaf	5534.623062	1
6009	Eden-1	Sweden	62.877	18.177	CS76826	leaf	4449.217426	0
6011	Eden-6	Sweden	62.877	18.177	CS76828	leaf	4967.781155	.
6012	Eden-7	Sweden	62.877	18.177	CS76829	leaf	5320.279341	0
6013	Eden-9	Sweden	62.877	18.177	CS76830	leaf	4812.790597	.
6016	Eds-1	Sweden	62.9	18.4	CS76834	leaf	4534.765141	0
6019	FjÃ¤1-2	Sweden	56.06	14.29	CS76860	leaf	5335.307407	.
6020	FjÃ¤1-5	Sweden	56.06	14.29	CS76861	leaf	5470.090254	.
6021	FjÃ¤2-4	Sweden	56.06	14.29	CS76862	leaf	5758.305922	1
6023	Fly2-1	Sweden	55.7509	13.3712	CS76863	leaf	5318.03289	0
6024	Fly2-2	Sweden	55.7509	13.3712	CS76864	leaf	4747.810433	0
6025	Gro-3	Sweden	62.6437	17.7339	CS76889	leaf	5153.511795	0
6030	GrÃ¶n-5	Sweden	62.806	18.1896	CS76893	leaf	5118.813015	.
6034	Hov1-7	Sweden	56.1	13.74	CS76932	leaf	4629.504806	0
6035	Hov1-10	Sweden	56.1	13.74	CS76931	leaf	4806.539428	.
6036	Hov3-2	Sweden	56.1	13.74	CS76934	leaf	4964.020659	0
6038	Hov3-5	Sweden	56.1	13.74	CS76935	leaf	5191.409966	0
6039	Hovdala-2	Sweden	56.1	13.74	CS76937	leaf	4606.468941	.
6040	Kni-1	Sweden	55.66	13.4	CS76970	leaf	4843.568566	0
6041	Lis-3	Sweden	56.0328	14.775	CS77044	leaf	5222.089459	0
6042	Lom1-1	Sweden	56.09	13.9	CS77048	leaf	4635.424859	0
6043	LÃ¶v-1	Sweden	62.801	18.079	CS77049	leaf	5390.954643	0
6046	LÃ¶v-5	Sweden	62.801	18.079	CS77050	leaf	4724.517012	.
6064	Nyl-2	Sweden	62.9513	18.2763	CS77136	leaf	4676.672112	0
6069	Nyl-7	Sweden	62.9513	18.2763	CS77137	leaf	4663.410846	0
6070	Omn-1	Sweden	62.9308	18.3448	CS77145	leaf	4747.802917	0
6071	Omn-5	Sweden	62.9308	18.3448	CS77146	leaf	5074.768399	0
6073	Ã–MÃ¶1-7	Sweden	56.1481	15.8155	CS77147	leaf	4908.80944	0
6074	Ã–r-1	Sweden	56.4573	16.1308	CS77150	leaf	4523.275083	0
6076	Rev-2	Sweden	55.6942	13.4504	CS77215	leaf	5211.189834	0
6085	Sparta-1	Sweden	55.7097	13.2145	CS77260	leaf	4792.672898	0
6086	Sr:3	Sweden	58.9	11.2	CS77267	leaf	4534.016903	0
6088	Stu1-1	Sweden	56.4666	16.1284	CS77285	leaf	4852.211621	.
6090	T1000	Sweden	55.6525	13.2197	CS77288	leaf	4251.223315	0
6092	T1020	Sweden	55.6514	13.2233	CS77289	leaf	4928.545569	0
6094	T1040	Sweden	55.6494	13.2147	CS77290	leaf	4592.195306	0
6097	T1070	Sweden	55.6481	13.2264	CS77291	leaf	5107.470785	0
6098	T1080	Sweden	55.6561	13.2178	CS77292	leaf	5101.150881	0
6099	T1090	Sweden	55.6575	13.2386	CS77293	leaf	5229.870069	0
6100	T1110	Sweden	55.6	13.2	CS77294	leaf	4749.591062	0
6102	T1130	Sweden	55.6	13.2	CS77295	leaf	4640.662695	0
6104	T1160	Sweden	55.7	13.2	CS77296	leaf	4992.489969	0
6105	T450	Sweden	55.7967	13.1211	CS77297	leaf	4799.122709	0
6106	T460	Sweden	55.7931	13.1186	CS77298	leaf	4233.214309	0
6107	T470	Sweden	55.7942	13.1222	CS77299	leaf	4969.28794	0
6108	T480	Sweden	55.7989	13.1206	CS77300	leaf	5056.325312	0
6109	T510	Sweden	55.7936	13.1233	CS77301	leaf	5003.40267	0
6111	T530	Sweden	55.7989	13.1219	CS77302	leaf	5698.020488	0
6112	T540	Sweden	55.7967	13.1044	CS77303	leaf	5411.205085	1
6113	T550	Sweden	55.8078	13.1028	CS77304	leaf	5242.483435	0
6114	T570	Sweden	55.8097	13.1342	CS77305	leaf	5601.381653	0
6115	T580	Sweden	55.8	13.1367	CS77306	leaf	5405.066679	0
6118	T610	Sweden	55.7	13.2	CS77307	leaf	5032.558551	1
6122	T670	Sweden	55.8364	13.3075	CS77308	leaf	5242.772903	0
6124	T690	Sweden	55.8378	13.3092	CS77309	leaf	4873.224276	0
6125	T710	Sweden	55.8403	13.3106	CS77310	leaf	4953.398069	0
6126	T720	Sweden	55.8411	13.3047	CS77311	leaf	4904.598072	0
6128	T740	Sweden	55.8397	13.2881	CS77313	leaf	5118.610896	0
6131	T780	Sweden	55.8369	13.3181	CS77315	leaf	5027.72464	1
6132	T790	Sweden	55.8386	13.3186	CS77316	leaf	4862.159333	0
6133	T800	Sweden	55.8364	13.2906	CS77317	leaf	5207.389027	0
6134	T810	Sweden	55.8383	13.2906	CS77318	leaf	5477.395813	0
6136	T840	Sweden	55.9336	13.5519	CS77319	leaf	5078.446681	0
6137	T850	Sweden	55.9419	13.5603	CS77320	leaf	5012.418358	0
6138	T860	Sweden	55.9403	13.5511	CS77321	leaf	4366.207873	0
6140	T880	Sweden	55.9392	13.5539	CS77322	leaf	4976.95992	0
6142	T900	Sweden	55.9428	13.5558	CS77323	leaf	4873.38245	0
6145	T930	Sweden	55.9497	13.5533	CS77324	leaf	5068.566369	0
6148	T960	Sweden	55.9319	13.5508	CS77325	leaf	4994.169665	0
6149	T970	Sweden	55.9281	13.5481	CS77326	leaf	4778.171881	0
6150	T980	Sweden	55.9261	13.5319	CS77327	leaf	4933.917568	0
6151	T990	Sweden	55.6528	13.2244	CS77328	leaf	4827.437913	0
6153	TAA 03	Sweden	62.6425	17.7422	CS77329	leaf	5071.997094	0
6154	TAA 04	Sweden	62.6422	17.7406	CS77330	leaf	5069.327768	0
6163	TAA 14	Sweden	62.6425	17.7356	CS77331	leaf	4767.865294	0
6166	TAA 17	Sweden	62.6425	17.7372	CS77332	leaf	4847.716645	0
6169	TÃ…D 01	Sweden	62.8714	18.3447	CS77333	leaf	4637.89639	0
6172	TÃ…D 04	Sweden	62.8717	18.3436	CS77335	leaf	4457.38458	0
6173	TÃ…D 05	Sweden	62.8717	18.3419	CS77336	leaf	4667.088209	0
6174	TÃ…D 06	Sweden	62.8719	18.3422	CS77337	leaf	4547.772431	0
6177	TÃ„L 03	Sweden	62.6322	17.69	CS77338	leaf	5264.341114	0
6180	TÃ„L 07	Sweden	62.6322	17.6906	CS77339	leaf	5090.124563	1
6184	TBÃ– 01	Sweden	62.8892	18.4522	CS77343	leaf	4138.857522	0
6188	TDr-1	Sweden	55.7683	14.1386	CS77345	leaf	4472.290929	0
6189	TDr-2	Sweden	55.7686	14.1383	CS77351	leaf	5516.195889	0
6191	TDr-4	Sweden	55.7689	14.1375	CS77352	leaf	5206.75531	0
6192	TDr-5	Sweden	55.7692	14.1369	CS77353	leaf	4838.723444	0
6193	TDr-7	Sweden	55.7694	14.1347	CS77354	leaf	4878.775483	0
6194	TDr-8	Sweden	55.7706	14.1342	CS77355	leaf	4598.636221	0
6195	TDr-9	Sweden	55.7708	14.1342	CS77356	leaf	4558.459149	0
6198	TDr-13	Sweden	55.7708	14.1331	CS77347	leaf	4412.696494	0
6201	TDr-16	Sweden	55.7719	14.1211	CS77348	leaf	4786.083333	0
6202	TDr-17	Sweden	55.7717	14.1206	CS77349	leaf	4911.820036	0
6203	TDr-18	Sweden	55.7714	14.1208	CS77350	leaf	6106.090545	1
6209	TEDEN 02	Sweden	62.8836	18.1842	CS77358	leaf	4845.175118	0
6210	TEDEN 03	Sweden	62.8839	18.1836	CS77359	leaf	5279.698968	0
6216	TFÃ„ 06	Sweden	63.0167	18.3283	CS77362	leaf	4994.402299	1
6217	TFÃ„ 07	Sweden	63.0169	18.3283	CS77363	leaf	4550.795646	1
6218	TFÃ„ 08	Sweden	63.0172	18.3283	CS77364	leaf	5120.856434	1
6220	TGR 01	Sweden	62.806	18.1896	CS77365	leaf	5075.584825	0
6221	TGR 02	Sweden	62.806	18.1896	CS77366	leaf	4994.539564	0
6231	TNY 04	Sweden	62.96	18.2844	CS77368	leaf	4985.995021	.
6235	TOM 01	Sweden	62.9611	18.3589	CS77372	leaf	4940.915172	0
6237	TOM 03	Sweden	62.9619	18.35	CS77373	leaf	5313.436792	0
6238	TOM 04	Sweden	62.9619	18.35	CS77374	leaf	4332.360472	0
6240	TOM 06	Sweden	62.9622	18.35	CS77375	leaf	4545.773424	.
6241	TOM 07	Sweden	62.9614	18.3608	CS77376	leaf	4877.59611	0
6242	Tomegap-2	Sweden	55.7	13.2	CS77377	leaf	4977.882142	0
6243	Tottarp-2	Sweden	56.27373	13.90045	CS77381	leaf	5144.623187	1
6244	TRÃ„ 01	Sweden	62.9169	18.4728	CS77384	leaf	4936.61607	0
6252	TV-4	Sweden	55.5796	14.3336	CS78771	leaf	4521.369433	0
6255	TV-7	Sweden	55.5796	14.334	CS78772	leaf	4508.624487	0
6258	TV-10	Sweden	55.5796	14.3336	CS78767	leaf	5016.837886	0
6268	TV-22	Sweden	55.5796	14.3336	CS78768	leaf	4225.170883	0
6276	TV-30	Sweden	55.5796	14.3336	CS78769	leaf	4277.854533	0
6284	TV-38	Sweden	55.5796	14.3336	CS78770	leaf	6187.0292	0
6296	UduI 1-11	Czech Republic	49.2771	16.6314	CS78774	leaf	4901.350879	0
6390	UduI 3-36	Czech Republic	49.2771	16.6314	CS78775	leaf	4858.805729	0
6396	UduI 4-9	Czech Republic	49.2771	16.6314	CS78776	leaf	5415.653535	.
6413	Ull3-4	Sweden	56.06	13.97	CS78819	leaf	4921.306924	0
6424	ZdrI 1-23	Czech Republic	49.3853	16.2544	CS78875	leaf	4910.601229	.
6434	ZdrI 2-9	Czech Republic	49.3853	16.2544	CS78877	leaf	4495.895454	0
6445	ZdrI 2-21	Czech Republic	49.3853	16.2544	CS78876	leaf	5519.670282	.
6680	ANH-1	GER	51.85	6.4333	CS76437	leaf	5152.427695	0
6897	Ag-0	France	45	1.3	CS76430	leaf	4543.076302	0
6898	An-1	Belgium	51.2167	4.4	CS76435	leaf	5084.727616	1
6900	Bil-5	Sweden	63.324	18.484	CS76709	leaf	4281.684896	0
6901	Bil-7	Sweden	63.324	18.484	CS76710	leaf	4819.811154	0
6903	Bor-4	Czech Republic	49.4013	16.2326	CS76454	leaf	5061.700086	1
6904	Br-0	Czech Republic	49.2	16.6166	CS76455	leaf	5060.203465	.
6907	CIBC-17	UK	51.4083	-0.6383	CS76770	leaf	4809.307379	0
6908	CIBC-5	UK	51.4083	-0.6383	CS78894	leaf	5000.070166	0
6913	Eden-2	Sweden	62.877	18.177	CS76827	leaf	4798.595531	0
6915	Ei-2	GER	50.3	6.3	CS76478	leaf	4823.446529	0
6917	FÃƒÂ¤b-2	Sweden	63.0165	18.3174	CS76850	leaf	4634.486198	1
6918	FÃ¤b-4	Sweden	63.0165	18.3174	CS76851	leaf	4855.920966	1
6919	Ga-0	GER	50.3	8	CS76490	leaf	4831.23089	0
6920	Got-22	GER	51.5338	9.9355	CS76884	leaf	4962.825828	0
6922	Gu-0	GER	50.3	8	CS76498	leaf	4265.655753	0
6923	HR-10	UK	51.4083	-0.6383	CS76940	leaf	4897.83681	0
6924	HR-5	UK	51.4083	-0.6383	CS76514	leaf	4747.810708	0
6932	Ler-1	GER	47.984	10.8719	CS77021	leaf	4607.445038	0
6933	LL-0	Spain	41.59	2.49	CS77047	leaf	4939.853607	.
6938	Ms-0	Russia	55.7522	37.6322	CS76555	leaf	5031.477974	0
6940	Mz-0	GER	50.3	8.3	CS76557	leaf	4710.791941	0
6943	NFA-10	UK	51.4083	-0.6383	CS77126	leaf	4848.504773	0
6944	NFA-8	UK	51.4083	-0.6383	CS78913	leaf	5267.209026	0
6945	Nok-3	NED	52.24	4.45	CS76562	leaf	4774.033286	0
6951	Pu2-23	Czech Republic	49.42	16.36	CS76579	leaf	4071.584977	0
6956	Pu2-7	Czech Republic	49.42	16.36	CS76580	leaf	5315.516192	1
6957	Pu2-8	Czech Republic	49.42	16.36	CS77192	leaf	5137.864611	1
6958	Ra-0	France	46	3.3	CS76582	leaf	4889.866873	1
6959	Rennes-1	France	48.5	-1.41	CS77210	leaf	4273.828511	0
6960	Rennes-11	France	48.5	-1.41	CS77211	leaf	4421.682186	.
6961	Se-0	Spain	38.3333	-3.53333	CS76597	leaf	4120.79893	0
6966	Sq-1	UK	51.4083	-0.6383	CS77266	leaf	4912.055422	0
6967	Sq-8	UK	51.4083	-0.6383	CS76604	leaf	4869.36723	0
6968	Tamm-2	Finland	60	23.5	CS76610	leaf	4358.348271	0
6969	Tamm-27	Finland	60	23.5	CS77341	leaf	4339.558346	0
6970	Ts-1	Spain	41.7194	2.93056	CS76615	leaf	4289.243042	0
6971	Ts-5	Spain	41.7194	2.93056	CS77388	leaf	4308.133193	0
6973	Ull2-3	Sweden	56.0648	13.9707	CS78817	leaf	4737.518094	0
6974	Ull2-5	Sweden	56.0648	13.9707	CS78818	leaf	5309.624145	1
6975	Uod-1	Austria	48.3	14.45	CS76621	leaf	4683.335796	1
6976	Uod-7	Austria	48.3	14.45	CS78823	leaf	4389.986126	1
6979	Wei-0	SUI	47.25	8.26	CS76628	leaf	4405.090827	0
6981	Ws-2	Russia	52.3	30	CS78920	leaf	5244.277258	0
6982	Wt-5	GER	52.3	9.3	CS76632	leaf	4794.424327	0
6984	Zdr-1	Czech Republic	49.3853	16.2544	CS76635	leaf	5301.737946	1
6986	Abd-0	UK	57.1539	-2.2207	CS76429	leaf	5208.996301	0
6987	Ak-1	GER	48.0683	7.62551	CS76431	leaf	4702.454345	0
6989	Alst-1	UK	54.8	-2.4333	CS76432	leaf	4438.41405	0
6990	Amel-1	NED	53.448	5.73	CS76434	leaf	4772.22895	1
6992	Ang-0	Belgium	50.3	5.3	CS76436	leaf	4502.746128	0
6997	Appt-1	NED	51.8333	5.5833	CS76440	leaf	5116.305902	0
7000	Aa-0	GER	50.9167	9.57073	CS76428	leaf	5258.818741	1
7002	Baa-1	NED	51.3333	6.1	CS76442	leaf	5324.469662	.
7003	Bs-1	SUI	47.5	7.5	CS78888	leaf	5454.761713	1
7008	Benk-1	NED	52	5.675	CS76447	leaf	5148.926565	0
7013	Bd-0	GER	52.4584	13.287	CS76445	leaf	5252.624823	0
7014	Ba-1	UK	56.5459	-4.79821	CS76441	leaf	4763.439556	0
7025	Bl-1	Italy	44.5041	11.3396	CS76450	leaf	4549.849946	0
7026	Boot-1	UK	54.4	-3.2667	CS76452	leaf	5090.941394	0
7028	Bch-1	GER	49.5166	9.3166	CS76444	leaf	5841.596886	1
7031	Bsch-0	GER	50.0167	8.6667	CS76457	leaf	5276.272723	0
7036	Bu-0	GER	50.5	9.5	CS78889	leaf	4523.810442	0
7058	Bur-0	Ireland	54.1	-6.2	CS76734	leaf	5145.879974	0
7061	Cal-0	UK	53.2699	-1.64293	CS76460	leaf	4548.704397	0
7062	Ca-0	GER	50.2981	8.26607	CS76459	leaf	4830.748591	1
7064	Cnt-1	UK	51.3	1.1	CS76467	leaf	5285.240022	0
7067	Ct-1	Italy	37.3	15	CS76786	leaf	4523.16953	0
7068	Cerv-1	Italy	42	12.1	CS76462	leaf	4838.798897	0
7071	Chat-1	France	48.0717	1.33867	CS76463	leaf	4923.897778	0
7072	Chi-0	Russia	53.7502	34.7361	CS76464	leaf	5129.374278	1
7077	Co-1	POR	40.12	-8.25	CS76468	leaf	5133.72128	1
7081	Co	POR	40.2077	-8.42639	CS78895	leaf	4788.086532	1
7092	Com-1	France	49.416	2.823	CS76469	leaf	4655.88145	0
7094	Da-0	GER	49.8724	8.65081	CS76791	leaf	5038.378921	0
7096	Di-G	France	47.3239	5.04278	CS76472	leaf	4806.465007	0
7102	Do-0	GER	50.7224	8.2372	CS76474	leaf	4654.106655	.
7103	Dra-0	Czech Republic	49.4167	16.2667	CS76476	leaf	5350.375463	0
7106	Dr-0	GER	51.051	13.7336	CS78897	leaf	5130.823848	1
7107	Durh-1	UK	54.7761	-1.5733	CS76477	leaf	4760.286094	0
7109	Ema-1	UK	51.3	0.5	CS76480	leaf	4899.523654	0
7111	Edi-0	UK	55.9494	-3.16028	CS76831	leaf	5063.833365	0
7117	El-0	GER	51.5105	9.68253	CS76479	leaf	5089.057585	0
7119	En-2	GER	50	8.5	CS76481	leaf	4961.866603	0
7120	En-D	GER	50	8.5	CS76482	leaf	4034.237752	0
7125	Er-0	GER	49.5955	11.0087	CS78898	leaf	4570.626421	0
7126	Es-0	Finland	60.1997	24.5682	CS76484	leaf	4678.234864	0
7127	Est	Estonia	58.6656	24.9871	CS76485	leaf	5124.62676	1
7130	Et-0	France	44.6447	2.56481	CS76486	leaf	4834.592173	0
7133	Fr-2	GER	50.1102	8.6822	CS76489	leaf	4378.284534	0
7138	Fi-0	GER	50.5	8.0167	CS76488	leaf	4912.614745	0
7143	Gel-1	NED	51.0167	5.86667	CS76492	leaf	5263.94792	0
7147	Gie-0	GER	50.584	8.67825	CS76493	leaf	5124.48664	1
7158	Gr-5	Austria	47	15.5	CS76885	leaf	5377.871642	0
7161	Gd-1	GER	53.5	10.5	CS76491	leaf	5098.154063	.
7162	Hs-0	GER	52.24	9.44	CS76515	leaf	4725.310534	0
7163	Ha-0	GER	52.3721	9.73569	CS76500	leaf	5081.378653	1
7164	Hau-0	DEN	55.675	12.5686	CS76915	leaf	4517.2208	0
7165	Hn-0	GER	51.3472	8.28844	CS76513	leaf	4768.353996	0
7169	Hh-0	GER	54.4175	9.88682	CS76512	leaf	4941.128456	1
7177	Jm-0	Czech Republic	49	15	CS76520	leaf	5356.781339	1
7181	Je-0	GER	50.927	11.587	CS76518	leaf	4898.437818	0
7186	Kn-0	Lithuania	54.8969	23.8924	CS76969	leaf	5210.008734	0
7192	Kil-0	UK	55.6395	-5.66364	CS76526	leaf	4374.057932	0
7199	Kl-5	GER	50.95	6.9666	CS76528	leaf	4413.103884	0
7202	Kb-0	GER	50.1797	8.50861	CS76524	leaf	4270.801559	0
7203	Krot-0	GER	49.631	11.5722	CS76534	leaf	5313.559178	1
7208	Lan-0	UK	55.6739	-3.78181	CS76539	leaf	5310.529829	.
7209	La-0	Poland	52.7333	15.2333	CS76538	leaf	4928.440569	0
7213	Ler-0	GER	47.984	10.8719	CS77020	leaf	4675.576474	0
7217	Lm-2	France	48	0.5	CS76545	leaf	4890.766903	0
7218	Le-0	NED	52.1611	4.49015	CS76540	leaf	4963.87185	0
7223	Li-2:1	GER	50.3833	8.0666	CS76541	leaf	4434.946492	0
7231	Li-7	GER	50.3833	8.0666	CS77035	leaf	4563.002085	1
7244	Mnz-0	GER	50.001	8.26664	CS76552	leaf	4897.452069	1
7250	Me-0	GER	51.9183	10.1138	CS76549	leaf	4825.717138	0
7255	Mh-0	Poland	50.95	20.5	CS76550	leaf	5225.337465	1
7258	Nw-0	GER	50.5	8.5	CS76564	leaf	4548.783073	0
7268	Np-0	GER	52.6969	10.981	CS76563	leaf	4623.884314	0
7273	No-0	GER	51.0581	13.2995	CS77128	leaf	4877.169457	0
7276	Ob-0	GER	50.2	8.5833	CS76566	leaf	4552.630494	0
7280	Old-1	GER	53.1667	8.2	CS76567	leaf	4884.875419	0
7282	Or-0	GER	50.3827	8.01161	CS76568	leaf	4652.270772	0
7287	Ove-0	GER	53.3422	8.42255	CS76569	leaf	5374.215188	.
7288	Oy-0	Norway	60.385543	6.193019	CS77156	leaf	4567.678861	0
7296	Petergof	Russia	59	29	CS77170	leaf	4688.557661	0
7298	Pi-0	Austria	47.04	10.51	CS76572	leaf	4682.550692	1
7305	Pt-0	GER	53.476	10.6065	CS78915	leaf	5096.468481	0
7307	Pn-0	France	48.0653	-2.96591	CS77182	leaf	4223.916383	0
7314	Ragl-1	UK	54.3512	-3.41697	CS76583	leaf	4903.412337	1
7316	Rhen-1	NED	51.9667	5.56667	CS78916	leaf	4579.398954	0
7319	Rome-1	Italy	42	12.1	CS76590	leaf	4810.523741	0
7320	Rou-0	France	49.4424	1.09849	CS76591	leaf	4563.00881	0
7322	Rsch-4	Russia	56.3	34	CS77222	leaf	5184.108266	1
7327	Sf-1	Spain	41.7833	3.03333	CS77246	leaf	4493.856707	.
7328	Sf-2	Spain	41.7833	3.03333	CS77247	leaf	4418.093139	0
7333	Sei-0	Italy	46.5438	11.5614	CS76599	leaf	5051.275116	0
7337	Si-0	GER	50.8738	8.02341	CS76601	leaf	4967.243677	1
7342	Su-0	UK	53.6473	-3.00733	CS76606	leaf	5062.189973	0
7343	Sp-0	GER	52.5339	13.181	CS76603	leaf	4802.564673	.
7344	Sg-1	GER	47.6667	9.5	CS76600	leaf	5436.584783	0
7346	Sten-0	GER	52.6058	11.8558	CS77277	leaf	5655.379842	1
7347	Stw-0	Russia	52	36	CS76605	leaf	4827.647613	.
7349	Ta-0	Czech Republic	49.5	14.5	CS76608	leaf	4958.755669	1
7353	Tha-1	NED	52.08	4.3	CS76611	leaf	5330.486601	0
7354	Ting-1	Sweden	56.5	14.9	CS76612	leaf	4922.733363	0
7372	Tscha-1	Austria	47.0748	9.9042	CS76616	leaf	4834.047107	0
7378	Uk-1	GER	48.0333	7.7667	CS76620	leaf	4929.926897	0
7382	Utrecht	NED	52.0918	5.1145	CS76622	leaf	5381.8934	1
7384	Ven-1	NED	52.0333	5.55	CS76624	leaf	4454.098302	0
7387	Vind-1	UK	54.9902	-2.3671	CS76625	leaf	4819.316029	0
7394	Wa-1	Poland	52.3	21	CS76626	leaf	4375.190616	0
7396	Ws-0.2	Russia	52.3	30	CS78857	leaf	4858.810861	1
7404	Wc-1	GER	52.6	10.0667	CS76627	leaf	5237.673236	.
7411	Wl-0	GER	47.9299	10.8134	CS76630	leaf	4996.734443	0
